cedula_colaborador,nombre_beneficiario,fecha_nacimiento,genero,edad
52318904,Jerónimo Salcedo Rojas,2023-09-01,Niño,3
52318904,Emiliano Salcedo Rojas,2019-01-17,Niño,7
52318904,Andrés Salcedo Rojas,2014-06-19,Niño,12
80277714,Matías Cortés Amaya,2014-06-01,Niño,12
80556573,Sofía Moreno Díaz,2019-02-24,Niña,7
1020483984,Luciana Quintero Lara,2023-01-07,Niña,3
52263139,Julián Cárdenas Rojas,2019-11-03,Niño,7
52263139,Paulina Cárdenas Rojas,2023-03-24,Niña,3
1032473868,Manuela Ruiz Peña,2014-08-19,Niña,12
1020954137,Valeria Valencia Nieto,2019-09-26,Niña,7
1020954137,Manuela Valencia Nieto,2014-02-06,Niña,12
1020954137,Juanita Valencia Nieto,2014-03-16,Niña,12
1032953130,Juanita Salcedo Vargas,2014-08-31,Niña,12
52382101,Isabella Moreno Díaz,2019-06-15,Niña,7
52382101,Martín Moreno Díaz,2019-10-06,Niño,7
80298382,Felipe Moreno Díaz,2023-08-06,Niño,3
80298382,Camila Moreno Díaz,2019-03-02,Niña,7
80298382,Santiago Moreno Díaz,2023-02-13,Niño,3
52685820,Paulina Beltrán Muñoz,2019-12-09,Niña,7
52685820,Paulina Beltrán Muñoz,2023-08-04,Niña,3
52318727,Tomás Ospina Herrera,2014-08-21,Niño,12
1020704900,Valeria Aguirre Pardo,2023-06-18,Niña,3
79647355,Paulina Salcedo Vargas,2014-06-14,Niña,12
79647355,Isabella Salcedo Vargas,2023-11-26,Niña,3
79796613,Manuela Moreno Díaz,2019-12-05,Niña,7
1020792878,Daniel Cárdenas Rojas,2014-02-28,Niño,12
1020792878,Martín Cárdenas Rojas,2014-02-09,Niño,12
10849856,Luciana Naranjo Vega,2023-02-27,Niña,3
10849856,Camila Naranjo Vega,2023-03-29,Niña,3
1020428940,Tomás Valencia Nieto,2014-11-30,Niño,12
1020428940,Camila Valencia Nieto,2019-01-24,Niña,7
1020428940,Jerónimo Valencia Nieto,2018-12-25,Niño,7
52548752,Andrés Salcedo Vargas,2014-09-22,Niño,12
79973633,Mariana Valencia Nieto,2014-07-27,Niña,12
1032936118,Martín Bermúdez Silva,2014-07-01,Niño,12
1020260214,Matías Salcedo Vargas,2013-12-19,Niño,12
52350129,Catalina Aguirre Pardo,2023-11-17,Niña,3
52350129,Gabriel Aguirre Pardo,2019-07-18,Niño,7
79423170,Felipe Ospina Herrera,2014-05-17,Niño,12
1020367863,Gabriel Ruiz Peña,2014-04-29,Niño,12
