cedula,nombre,codigo_sap,correo,area
52318904,Diana Patricia Salcedo Rojas,SAP-007340,dsalcedo@demo.local,Talento Humano
80277714,Valeria Cortés Amaya,SAP-081083,colab01@demo.local,Planeación
80556573,Salomé Moreno Díaz,SAP-024398,colab02@demo.local,Servicio al Cliente
1020483984,Jerónimo Quintero Lara,SAP-038219,colab03@demo.local,Operaciones Zona 1
52263139,Felipe Cárdenas Rojas,SAP-075384,colab04@demo.local,Mantenimiento
1032473868,Catalina Ruiz Peña,SAP-088514,colab05@demo.local,Talento Humano
1020954137,Isabella Valencia Nieto,SAP-090732,colab06@demo.local,Dirección Financiera
1032953130,Samuel Salcedo Vargas,SAP-071390,colab07@demo.local,Operaciones Zona 1
52382101,Antonia Moreno Díaz,SAP-043145,colab08@demo.local,Tecnología
80298382,Antonia Moreno Díaz,SAP-054153,colab09@demo.local,Tecnología
52685820,Daniel Beltrán Muñoz,SAP-012779,colab10@demo.local,Operaciones Zona 1
52318727,Juanita Ospina Herrera,SAP-020905,colab11@demo.local,Dirección Financiera
1020704900,Emilia Aguirre Pardo,SAP-036428,colab12@demo.local,Dirección Financiera
79647355,Valeria Salcedo Vargas,SAP-004925,colab13@demo.local,Gestión Ambiental
79796613,Juanita Moreno Díaz,SAP-076270,colab14@demo.local,Tecnología
1020792878,Simón Cárdenas Rojas,SAP-077600,colab15@demo.local,Servicio al Cliente
10849856,Felipe Naranjo Vega,SAP-052078,colab16@demo.local,Mantenimiento
1020428940,Daniel Valencia Nieto,SAP-025503,colab17@demo.local,Operaciones Zona 3
52548752,Emilia Salcedo Vargas,SAP-032655,colab18@demo.local,Mantenimiento
79973633,Santiago Valencia Nieto,SAP-099374,colab19@demo.local,Mantenimiento
1032936118,Jerónimo Bermúdez Silva,SAP-063983,colab20@demo.local,Gestión Ambiental
1020260214,Manuela Salcedo Vargas,SAP-058120,colab21@demo.local,Servicio al Cliente
52350129,Valeria Aguirre Pardo,SAP-095044,colab22@demo.local,Tecnología
79423170,Sofía Ospina Herrera,SAP-065393,colab23@demo.local,Mantenimiento
1020367863,Camila Ruiz Peña,SAP-045122,colab24@demo.local,Planeación
